order,company,recipient,subject,eml_path,attachment_path,source_draft_path
11,The Touch Productions,info@thetouch.sa,Application — Technical Production / Event Operations — Abdullah Fageeh,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/11-the-touch-productions.eml,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_the-touch-productions.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/the-touch-productions.txt
12,ProDesign,info@prodesign.com.sa,Application — Production / Experience Delivery — Abdullah Fageeh,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/12-prodesign.eml,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_prodesign.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/prodesign.txt
13,Prolines,info@prolines.sa,Application — Technical Production / Event Operations — Abdullah Fageeh,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/13-prolines.eml,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_prolines.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/prolines.txt
14,MEEXPO,info@meexpo.sa,Application — Event Production / Site Operations — Abdullah Fageeh,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/14-meexpo.eml,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_meexpo.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/meexpo.txt
15,Stand Expo,reach@standexpo.com.sa,Application — Technical Production / Operations — Abdullah Fageeh,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/15-stand-expo.eml,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_stand-expo.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/stand-expo.txt
16,BM Events KSA,info@bmeventsksa.com,Application — Event Production / Site Operations — Abdullah Fageeh,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/16-bm-events-ksa.eml,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_bm-events-ksa.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/bm-events-ksa.txt
17,Oujh Scaffolding & Event Services,info@oujh.net,Application — Site Operations / Event Logistics — Abdullah Fageeh,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/17-oujh-scaffolding-event-services.eml,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_oujh-scaffolding-event-services.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/oujh-scaffolding-event-services.txt
18,Resources Events Solutions,communicate@resourcesksa.com,Application — Site Operations / Event Logistics — Abdullah Fageeh,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/18-resources-events-solutions.eml,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_resources-events-solutions.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/resources-events-solutions.txt
19,Your Event Arabia,info@youreventarabia.com,Application — Event Production / Site Operations — Abdullah Fageeh,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/19-your-event-arabia.eml,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_your-event-arabia.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/your-event-arabia.txt
20,Shine Event Staffing,hello@letsshineksa.com,Application — Event Operations / Staffing Operations — Abdullah Fageeh,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/exported_eml_drafts/20-shine-event-staffing.eml,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/cv_pdf/Abdullah_Fageeh_CV_shine-event-staffing.pdf,/Users/abdullah/Downloads/saudi-tailored-outreach-2026-06-25-batch-02/email_drafts/shine-event-staffing.txt
